# {"t_start": 1549867203.317993, "env_id": "graph-search-v0"} 
r,l,t
-2,2,7.715317
-2,2,7.721361
-2,2,7.72708
-2,2,7.732823
-2,2,7.738765
-2,2,7.744374
-2,2,7.750089
-2,2,7.756353
-2,2,7.762281
-2,2,7.768446
-2,2,7.774664
-2,2,7.780266
-2,2,7.785972
-2,2,7.79217
-2,2,7.798349
-2,2,7.804801
-2,2,7.811072
-2,2,7.816695
-2,2,7.822471
-4,3,7.832551
-2,2,7.8401
-2,2,7.847764
-2,2,7.855561
-2,2,7.86156
-2,2,7.86718
-2,2,7.877227
-2,2,7.882913
-2,2,7.888702
-2,2,7.894762
-2,2,7.900423
-2,2,7.906914
-2,2,7.913308
-2,2,7.918956
-2,2,7.924924
-2,2,7.930517
-2,2,7.936896
-2,2,7.942838
-2,2,7.948474
-2,2,7.95418
-2,2,7.959763
-2,2,7.965386
-2,2,7.971095
-2,2,7.977525
-2,2,7.984359
-2,2,7.991003
-2,2,7.9971
-2,2,8.002752
-2,2,8.008373
-2,2,8.014467
-2,2,8.020646
-2,2,8.026611
-2,2,8.032296
-2,2,8.037932
-2,2,8.044062
-4,3,8.052533
-2,2,8.061294
-2,2,8.069099
-2,2,8.075443
-2,2,8.081035
-2,2,8.086653
-2,2,8.092315
-2,2,8.097967
-2,2,8.103895
-2,2,8.109872
-2,2,8.115507
-2,2,8.121664
-2,2,8.127517
-2,2,8.133266
-2,2,8.139676
-2,2,8.145351
-2,2,8.150955
-2,2,8.15975
-2,2,8.16735
-2,2,8.17347
-2,2,8.181175
-2,2,8.187426
-2,2,8.193177
-2,2,8.199241
-2,2,8.20565
-2,2,8.211337
-2,2,8.216976
-2,2,8.22282
-2,2,8.228787
-2,2,8.234509
-2,2,8.240829
-2,2,8.246686
-2,2,8.252325
-2,2,8.258223
-2,2,8.264904
-2,2,8.271525
-2,2,8.277297
-2,2,8.28291
-2,2,8.289321
-2,2,8.298824
-2,2,8.30508
-2,2,8.311043
-2,2,8.316836
-2,2,8.322944
-2,2,8.328768
-2,2,8.334584
-2,2,8.341021
-4,3,8.349731
-2,2,8.356301
-2,2,8.36195
-2,2,8.367593
-2,2,8.373353
-2,2,8.379032
-2,2,8.38529
-2,2,8.391326
